City,Crime_Description,Victim_Age,Victim_Gender,Weapon_Used,Case_Closed
Hyderabad,CYBERCRIME,31,F,Knife,No
Kolkata,COUNTERFEITING,20,M,Firearm,No
Hyderabad,BURGLARY,13,X,Other,Yes
Chennai,BURGLARY,78,F,Poison,No
Pune,CYBERCRIME,35,X,None,No
Agra,SEXUAL ASSAULT,74,X,Explosives,Yes
Ahmedabad,KIDNAPPING,27,F,Other,Yes
Jaipur,ARSON,71,M,None,Yes
Ghaziabad,ROBBERY,27,X,Knife,No
Delhi,IDENTITY THEFT,22,X,Firearm,Yes
Delhi,IDENTITY THEFT,45,M,Poison,No
Pune,SHOPLIFTING,13,X,Knife,No
Vasai,TRAFFIC VIOLATION,77,F,None,Yes
Chennai,PUBLIC INTOXICATION,79,F,None,Yes
Jaipur,CYBERCRIME,39,M,Explosives,No
Ahmedabad,CYBERCRIME,48,X,Firearm,No
Delhi,VANDALISM,31,X,Other,No
Mumbai,FRAUD,21,X,Other,No
Bangalore,PUBLIC INTOXICATION,53,X,Blunt Object,Yes
Surat,EXTORTION,44,X,Blunt Object,Yes
Delhi,DRUG OFFENSE,23,M,Other,No
Mumbai,BURGLARY,16,M,Firearm,Yes
Lucknow,SHOPLIFTING,35,X,Knife,Yes
Mumbai,COUNTERFEITING,74,F,Firearm,Yes
Hyderabad,HOMICIDE,27,F,Blunt Object,Yes
Bangalore,VANDALISM,34,X,Blunt Object,Yes
Meerut,CYBERCRIME,68,F,Poison,Yes
Delhi,EXTORTION,58,X,Explosives,No
Bangalore,KIDNAPPING,19,M,Other,Yes
Nashik,DOMESTIC VIOLENCE,43,X,Knife,No
Mumbai,VANDALISM,40,M,Blunt Object,No
Kolkata,CYBERCRIME,24,M,Poison,Yes
Mumbai,COUNTERFEITING,72,F,Knife,Yes
Mumbai,COUNTERFEITING,23,M,Knife,No
Surat,DOMESTIC VIOLENCE,63,M,Knife,Yes
Bhopal,PUBLIC INTOXICATION,12,M,Knife,Yes
Ludhiana,ASSAULT,28,X,Firearm,No
Hyderabad,DRUG OFFENSE,78,F,Poison,No
Kanpur,PUBLIC INTOXICATION,12,M,None,Yes
Kalyan,COUNTERFEITING,16,X,Other,Yes
Ahmedabad,TRAFFIC VIOLATION,27,X,Blunt Object,Yes
Pune,KIDNAPPING,10,M,None,Yes
Chennai,ARSON,61,M,Firearm,No
Meerut,IDENTITY THEFT,19,X,Knife,Yes
Lucknow,FIREARM OFFENSE,41,M,None,Yes
Mumbai,IDENTITY THEFT,41,X,Blunt Object,Yes
Patna,DOMESTIC VIOLENCE,79,X,Explosives,No
Chennai,ILLEGAL POSSESSION,63,X,Blunt Object,Yes
Agra,TRAFFIC VIOLATION,28,X,None,No
Kolkata,SEXUAL ASSAULT,34,X,Firearm,No
Lucknow,ROBBERY,50,X,Poison,Yes
Delhi,DRUG OFFENSE,49,F,Firearm,Yes
Bangalore,FIREARM OFFENSE,69,X,None,No
Hyderabad,ASSAULT,14,F,Explosives,No
Ahmedabad,ASSAULT,40,X,Knife,Yes
Delhi,KIDNAPPING,32,X,Knife,No
Delhi,HOMICIDE,34,X,Poison,Yes
Kalyan,DOMESTIC VIOLENCE,46,F,Blunt Object,No
Mumbai,ROBBERY,47,F,Firearm,Yes
Mumbai,SHOPLIFTING,41,F,Poison,Yes
Hyderabad,CYBERCRIME,62,F,Blunt Object,Yes
Jaipur,VEHICLE - STOLEN,63,F,Firearm,Yes
Delhi,EXTORTION,62,M,Poison,Yes
Agra,ILLEGAL POSSESSION,48,F,Poison,Yes
Kolkata,EXTORTION,50,F,Other,Yes
Patna,ARSON,78,M,Blunt Object,No
Pune,CYBERCRIME,26,M,Other,Yes
Surat,FIREARM OFFENSE,79,X,Poison,No
Delhi,VANDALISM,42,X,Explosives,No
Mumbai,BURGLARY,50,X,Knife,Yes
Hyderabad,COUNTERFEITING,21,F,Other,No
Mumbai,DOMESTIC VIOLENCE,19,M,Firearm,No
Ahmedabad,CYBERCRIME,68,X,Knife,No
Faridabad,DRUG OFFENSE,58,M,Firearm,No
Delhi,VANDALISM,14,F,Other,Yes
Nagpur,SEXUAL ASSAULT,34,X,Other,No
Mumbai,ROBBERY,57,F,Knife,No
Kanpur,PUBLIC INTOXICATION,15,M,Knife,Yes
Pune,DOMESTIC VIOLENCE,20,X,Blunt Object,Yes
Pune,TRAFFIC VIOLATION,26,X,Other,No
Jaipur,VANDALISM,61,F,Knife,No
Vasai,SHOPLIFTING,60,F,Poison,Yes
Delhi,SEXUAL ASSAULT,60,F,Other,Yes
Jaipur,TRAFFIC VIOLATION,71,M,Knife,No
Mumbai,BURGLARY,27,F,Blunt Object,Yes
Jaipur,TRAFFIC VIOLATION,53,X,Blunt Object,Yes
Pune,ARSON,21,M,Explosives,Yes
Mumbai,CYBERCRIME,33,M,Knife,No
Delhi,BURGLARY,14,F,Knife,No
Surat,DRUG OFFENSE,23,X,Firearm,Yes
Ahmedabad,ROBBERY,67,M,Blunt Object,No
Chennai,VANDALISM,21,M,Poison,Yes
Bangalore,ILLEGAL POSSESSION,57,M,Poison,Yes
Kolkata,IDENTITY THEFT,53,M,Explosives,No
Varanasi,SHOPLIFTING,11,F,Poison,Yes
Vasai,VANDALISM,67,F,Poison,No
Mumbai,ASSAULT,54,X,Poison,No
Ludhiana,CYBERCRIME,14,F,Explosives,No
Visakhapatnam,VEHICLE - STOLEN,32,X,None,No
Chennai,CYBERCRIME,41,F,Blunt Object,Yes
Mumbai,DRUG OFFENSE,41,M,Blunt Object,No
Chennai,FIREARM OFFENSE,23,F,Other,Yes
Bangalore,VEHICLE - STOLEN,78,X,Explosives,No
Jaipur,DRUG OFFENSE,69,F,Knife,No
Thane,KIDNAPPING,30,F,Other,Yes
Faridabad,FIREARM OFFENSE,60,F,Explosives,Yes
Bangalore,COUNTERFEITING,54,X,Explosives,No
Meerut,TRAFFIC VIOLATION,20,X,Firearm,Yes
Bangalore,FRAUD,75,M,Poison,No
Bangalore,BURGLARY,23,F,Poison,Yes
Surat,TRAFFIC VIOLATION,54,F,None,Yes
Bangalore,ARSON,33,X,Blunt Object,No
Faridabad,SEXUAL ASSAULT,74,M,Poison,No
Mumbai,DOMESTIC VIOLENCE,51,M,Explosives,Yes
Pune,VEHICLE - STOLEN,22,X,Blunt Object,No
Pune,DOMESTIC VIOLENCE,27,X,Other,No
Nagpur,ARSON,70,X,Explosives,No
Kolkata,ARSON,43,M,Poison,Yes
Chennai,ROBBERY,42,M,Other,Yes
Rajkot,HOMICIDE,34,F,None,No
Srinagar,TRAFFIC VIOLATION,36,X,Other,No
Ahmedabad,DOMESTIC VIOLENCE,19,X,Explosives,Yes
Delhi,ILLEGAL POSSESSION,13,F,Explosives,Yes
Mumbai,DOMESTIC VIOLENCE,44,M,Explosives,Yes
Kanpur,KIDNAPPING,34,M,None,Yes
Hyderabad,SHOPLIFTING,75,M,Knife,No
Mumbai,PUBLIC INTOXICATION,76,X,Poison,Yes
Pune,IDENTITY THEFT,53,X,Poison,Yes
Nagpur,FIREARM OFFENSE,61,F,Explosives,Yes
Kolkata,PUBLIC INTOXICATION,43,M,Blunt Object,No
Pune,HOMICIDE,43,X,None,No
Delhi,FRAUD,44,F,Other,Yes
Kolkata,DOMESTIC VIOLENCE,20,F,None,No
Delhi,ARSON,45,M,Knife,Yes
Chennai,COUNTERFEITING,62,F,Explosives,No
Chennai,FRAUD,51,X,None,No
Indore,CYBERCRIME,60,F,Poison,No
Mumbai,ROBBERY,48,F,None,No
Mumbai,PUBLIC INTOXICATION,43,M,Other,Yes
Chennai,HOMICIDE,63,M,Blunt Object,No
Delhi,DOMESTIC VIOLENCE,77,F,Knife,Yes
Kolkata,FRAUD,58,F,None,Yes
Hyderabad,CYBERCRIME,55,F,Poison,No
Mumbai,DRUG OFFENSE,65,F,Poison,No
Lucknow,SHOPLIFTING,13,X,None,Yes
Ahmedabad,KIDNAPPING,66,M,Blunt Object,No
Ludhiana,SEXUAL ASSAULT,17,F,Knife,No
Kolkata,PUBLIC INTOXICATION,10,M,Knife,Yes
Delhi,TRAFFIC VIOLATION,65,M,Firearm,Yes
Mumbai,FIREARM OFFENSE,62,F,Firearm,Yes
Surat,ILLEGAL POSSESSION,47,M,Blunt Object,No
Lucknow,VANDALISM,35,X,None,No
Delhi,SEXUAL ASSAULT,53,X,Explosives,No
Delhi,IDENTITY THEFT,77,M,Explosives,No
Bangalore,DRUG OFFENSE,60,M,Blunt Object,Yes
Kalyan,KIDNAPPING,57,X,Other,No
Ahmedabad,SHOPLIFTING,13,F,Other,Yes
Nashik,FIREARM OFFENSE,18,X,Blunt Object,Yes
Delhi,COUNTERFEITING,72,X,Firearm,Yes
Mumbai,KIDNAPPING,58,X,None,No
Jaipur,HOMICIDE,27,M,Firearm,No
Chennai,EXTORTION,78,M,Other,Yes
Hyderabad,FRAUD,52,M,Poison,No
Bangalore,DRUG OFFENSE,65,F,Poison,No
Mumbai,SEXUAL ASSAULT,72,X,None,Yes
Srinagar,IDENTITY THEFT,13,X,Poison,No
Ahmedabad,ASSAULT,16,F,Explosives,No
Delhi,ASSAULT,34,F,Poison,No
Ahmedabad,EXTORTION,45,F,Other,No
Pune,EXTORTION,41,F,Poison,Yes
Kanpur,ASSAULT,16,M,Knife,Yes
Delhi,ASSAULT,73,F,Explosives,No
Ludhiana,DRUG OFFENSE,49,X,Knife,Yes
Ahmedabad,CYBERCRIME,44,X,Knife,Yes
Ludhiana,ARSON,42,M,Firearm,No
Thane,FRAUD,38,M,Blunt Object,Yes
Kanpur,ASSAULT,25,F,None,No
Agra,SEXUAL ASSAULT,17,X,Other,Yes
Ludhiana,FIREARM OFFENSE,61,M,Blunt Object,Yes
Bangalore,ASSAULT,69,F,Blunt Object,Yes
Bangalore,ASSAULT,44,X,Blunt Object,Yes
Surat,VEHICLE - STOLEN,22,M,Poison,No
Thane,BURGLARY,36,M,Blunt Object,Yes
Chennai,TRAFFIC VIOLATION,11,M,Explosives,No
Thane,CYBERCRIME,11,X,Explosives,Yes
Hyderabad,CYBERCRIME,64,F,Explosives,Yes
Chennai,VEHICLE - STOLEN,30,M,Blunt Object,No
Pune,EXTORTION,68,F,Other,No
Delhi,VANDALISM,78,X,Knife,No
Hyderabad,ASSAULT,21,M,Other,Yes
Pune,ILLEGAL POSSESSION,48,F,Other,No
Bangalore,EXTORTION,35,M,Firearm,No
Meerut,SEXUAL ASSAULT,22,M,Other,No
Mumbai,ILLEGAL POSSESSION,30,F,Poison,Yes
Nagpur,ASSAULT,66,X,None,Yes
Pune,ARSON,79,F,Explosives,No
Kolkata,COUNTERFEITING,63,F,Explosives,Yes
Patna,TRAFFIC VIOLATION,23,F,Explosives,Yes
Bangalore,SHOPLIFTING,65,X,Poison,No
Surat,VEHICLE - STOLEN,35,M,Firearm,Yes
Hyderabad,IDENTITY THEFT,32,X,Other,No
Mumbai,FRAUD,49,X,Explosives,Yes
Thane,ROBBERY,17,X,Poison,No
Bangalore,CYBERCRIME,28,F,Knife,No
Bangalore,VEHICLE - STOLEN,34,F,None,Yes
Kalyan,CYBERCRIME,69,F,Explosives,No
Delhi,PUBLIC INTOXICATION,34,F,Other,No
Ahmedabad,SHOPLIFTING,52,M,Knife,Yes
Ahmedabad,ROBBERY,12,F,Poison,Yes
Kanpur,VEHICLE - STOLEN,11,F,Knife,No
Chennai,BURGLARY,35,F,Explosives,Yes
Mumbai,SEXUAL ASSAULT,32,M,None,No
Lucknow,PUBLIC INTOXICATION,41,X,Knife,Yes
Chennai,SEXUAL ASSAULT,70,X,Poison,No
Faridabad,FIREARM OFFENSE,19,F,Knife,No
Kalyan,HOMICIDE,42,F,Poison,Yes
Bangalore,FRAUD,32,M,Blunt Object,Yes
Delhi,KIDNAPPING,33,X,Poison,Yes
Lucknow,DRUG OFFENSE,34,F,Blunt Object,No
Ludhiana,ILLEGAL POSSESSION,14,M,Poison,No
Lucknow,BURGLARY,58,F,Blunt Object,Yes
Delhi,ROBBERY,76,M,Blunt Object,Yes
Surat,VEHICLE - STOLEN,65,F,Blunt Object,Yes
Ahmedabad,FRAUD,79,X,Other,Yes
Pune,ILLEGAL POSSESSION,43,X,Knife,No
Kanpur,VEHICLE - STOLEN,35,X,Explosives,No
Indore,HOMICIDE,50,F,Poison,No
Bangalore,CYBERCRIME,63,F,Firearm,No
Chennai,ARSON,49,F,None,Yes
Hyderabad,VANDALISM,76,X,Other,Yes
Mumbai,PUBLIC INTOXICATION,60,X,Blunt Object,Yes
Jaipur,TRAFFIC VIOLATION,20,F,Poison,Yes
Mumbai,ASSAULT,72,F,Other,Yes
Kanpur,IDENTITY THEFT,47,F,Explosives,No
Mumbai,CYBERCRIME,20,X,None,Yes
Hyderabad,BURGLARY,69,X,None,Yes
Kanpur,PUBLIC INTOXICATION,30,M,Firearm,Yes
Hyderabad,EXTORTION,55,X,Blunt Object,Yes
Delhi,COUNTERFEITING,68,F,Blunt Object,Yes
Thane,ROBBERY,36,M,None,No
Meerut,KIDNAPPING,54,F,Blunt Object,No
Bangalore,KIDNAPPING,76,M,Other,Yes
Chennai,TRAFFIC VIOLATION,21,F,Poison,No
Kanpur,HOMICIDE,60,M,None,No
Delhi,KIDNAPPING,11,M,Poison,Yes
Nashik,BURGLARY,34,X,Other,Yes
Mumbai,PUBLIC INTOXICATION,51,F,Poison,Yes
Jaipur,SHOPLIFTING,40,X,Blunt Object,Yes
Kolkata,ARSON,14,F,Blunt Object,No
Kanpur,VANDALISM,51,X,Knife,No
Bangalore,PUBLIC INTOXICATION,23,F,Poison,Yes
Mumbai,FRAUD,66,F,Explosives,No
Jaipur,DOMESTIC VIOLENCE,46,X,None,Yes
Jaipur,ILLEGAL POSSESSION,17,F,Poison,No
Delhi,FIREARM OFFENSE,19,M,Explosives,No
Visakhapatnam,ASSAULT,45,X,None,Yes
Chennai,COUNTERFEITING,72,X,Knife,Yes
Delhi,SHOPLIFTING,13,F,None,No
Thane,COUNTERFEITING,31,F,None,Yes
Ghaziabad,FRAUD,45,F,Firearm,No
Lucknow,VANDALISM,76,F,Knife,Yes
Delhi,DRUG OFFENSE,33,X,Other,Yes
Kalyan,KIDNAPPING,69,F,Explosives,No
Kolkata,SEXUAL ASSAULT,56,F,Blunt Object,No
Bangalore,FIREARM OFFENSE,26,M,Poison,No
Lucknow,PUBLIC INTOXICATION,63,F,Explosives,No
Patna,CYBERCRIME,74,F,Poison,No
Lucknow,SHOPLIFTING,65,X,Knife,Yes
Bangalore,IDENTITY THEFT,22,X,Other,Yes
Chennai,DOMESTIC VIOLENCE,76,F,Explosives,Yes
Hyderabad,DOMESTIC VIOLENCE,44,F,None,Yes
Kanpur,EXTORTION,42,X,Blunt Object,Yes
Delhi,IDENTITY THEFT,30,F,None,No
Kalyan,BURGLARY,46,X,None,Yes
Hyderabad,HOMICIDE,77,F,Firearm,Yes
Kolkata,DOMESTIC VIOLENCE,51,F,Firearm,No
Hyderabad,EXTORTION,16,F,Knife,Yes
Lucknow,SHOPLIFTING,52,F,Other,Yes
Lucknow,SEXUAL ASSAULT,39,F,Blunt Object,Yes
Nagpur,SEXUAL ASSAULT,50,F,Other,No
Chennai,IDENTITY THEFT,16,M,Blunt Object,Yes
Surat,DRUG OFFENSE,26,M,Firearm,No
Jaipur,COUNTERFEITING,11,M,Blunt Object,Yes
Patna,KIDNAPPING,52,M,Other,No
Kolkata,HOMICIDE,44,M,Knife,Yes
Bangalore,FIREARM OFFENSE,53,X,Knife,No
Bangalore,CYBERCRIME,37,M,Other,No
Kolkata,VEHICLE - STOLEN,27,F,Poison,No
Bangalore,DRUG OFFENSE,24,M,Poison,No
Delhi,ASSAULT,39,X,Poison,No
Delhi,FRAUD,65,F,Other,Yes
Kanpur,TRAFFIC VIOLATION,27,X,Explosives,Yes
Delhi,IDENTITY THEFT,77,X,Explosives,Yes
Delhi,COUNTERFEITING,63,F,Knife,Yes
Kanpur,ASSAULT,44,M,Blunt Object,No
Surat,TRAFFIC VIOLATION,51,M,Poison,No
Kanpur,PUBLIC INTOXICATION,74,X,Explosives,No
Meerut,TRAFFIC VIOLATION,62,F,Other,No
Ahmedabad,SHOPLIFTING,16,M,Knife,Yes
Delhi,CYBERCRIME,74,M,Blunt Object,No
Varanasi,EXTORTION,59,M,Knife,Yes
Ghaziabad,ARSON,66,X,Poison,Yes
Jaipur,DRUG OFFENSE,48,M,Other,Yes
Varanasi,CYBERCRIME,10,X,None,Yes
Bangalore,EXTORTION,79,X,None,No
Bangalore,VEHICLE - STOLEN,41,X,Poison,Yes
Kalyan,VANDALISM,22,F,None,No
Delhi,IDENTITY THEFT,75,X,Firearm,No
Bhopal,ARSON,37,F,Knife,Yes
Delhi,BURGLARY,76,F,Explosives,No
Bangalore,ARSON,38,X,Knife,No
Ahmedabad,ROBBERY,16,F,Knife,No
Delhi,COUNTERFEITING,59,F,Other,Yes
Hyderabad,COUNTERFEITING,52,M,Blunt Object,Yes
Nagpur,DOMESTIC VIOLENCE,52,X,Blunt Object,No
Delhi,SEXUAL ASSAULT,12,M,Poison,No
Kolkata,ARSON,45,X,Knife,No
Chennai,COUNTERFEITING,59,X,Explosives,Yes
Lucknow,DRUG OFFENSE,60,F,Poison,Yes
Kanpur,VANDALISM,23,X,Poison,No
Lucknow,TRAFFIC VIOLATION,11,F,Other,No
Kanpur,FRAUD,74,F,Knife,No
Delhi,CYBERCRIME,32,M,None,No
Delhi,ARSON,12,X,None,No
Pune,PUBLIC INTOXICATION,28,X,Knife,Yes
Chennai,SEXUAL ASSAULT,55,F,None,No
Delhi,PUBLIC INTOXICATION,51,X,Poison,Yes
Thane,ARSON,51,F,Other,Yes
Jaipur,ROBBERY,28,M,Explosives,No
Kolkata,VEHICLE - STOLEN,28,X,Explosives,Yes
Thane,EXTORTION,42,F,Blunt Object,No
Jaipur,BURGLARY,30,F,None,Yes
Rajkot,SEXUAL ASSAULT,41,M,Poison,No
Indore,FIREARM OFFENSE,14,F,Explosives,No
Lucknow,IDENTITY THEFT,75,M,Blunt Object,Yes
Faridabad,ROBBERY,12,M,Other,Yes
Mumbai,FIREARM OFFENSE,42,F,Blunt Object,No
Pune,TRAFFIC VIOLATION,72,X,Firearm,Yes
Lucknow,ILLEGAL POSSESSION,62,X,Knife,No
Chennai,CYBERCRIME,10,M,Other,Yes
Ludhiana,ASSAULT,37,X,Blunt Object,Yes
Hyderabad,DOMESTIC VIOLENCE,64,M,None,No
Bangalore,PUBLIC INTOXICATION,37,X,Explosives,No
Visakhapatnam,IDENTITY THEFT,74,F,Other,Yes
Hyderabad,IDENTITY THEFT,19,F,Explosives,No
Agra,KIDNAPPING,23,M,Blunt Object,Yes
Mumbai,ASSAULT,38,X,Firearm,Yes
Chennai,ARSON,47,F,Knife,No
Indore,KIDNAPPING,64,M,Knife,Yes
Chennai,DRUG OFFENSE,13,X,Explosives,No
Mumbai,FIREARM OFFENSE,75,M,None,Yes
Pune,SEXUAL ASSAULT,39,F,Firearm,No
Mumbai,HOMICIDE,19,F,Blunt Object,Yes
Hyderabad,FRAUD,39,M,Knife,No
Visakhapatnam,EXTORTION,26,M,None,No
Bhopal,ROBBERY,61,X,Firearm,No
Visakhapatnam,FIREARM OFFENSE,33,F,Other,Yes
Hyderabad,ROBBERY,17,F,None,Yes
Kolkata,HOMICIDE,76,F,Knife,No
Bhopal,ILLEGAL POSSESSION,59,F,Knife,No
Thane,FRAUD,72,M,Knife,No
Mumbai,IDENTITY THEFT,52,X,Other,Yes
Bangalore,DOMESTIC VIOLENCE,56,F,Knife,No
Jaipur,FRAUD,74,M,Knife,Yes
Bangalore,SHOPLIFTING,74,X,Other,No
Chennai,KIDNAPPING,15,M,Other,No
Pune,ILLEGAL POSSESSION,18,X,None,Yes
Nagpur,VANDALISM,30,F,Other,Yes
Visakhapatnam,KIDNAPPING,37,M,None,Yes
Pune,CYBERCRIME,63,F,Blunt Object,No
Patna,FRAUD,22,F,Blunt Object,Yes
Mumbai,SEXUAL ASSAULT,18,F,Other,No
Hyderabad,DRUG OFFENSE,33,M,Explosives,Yes
Kalyan,CYBERCRIME,26,M,Blunt Object,No
Bhopal,ARSON,16,X,Explosives,No
Pune,DOMESTIC VIOLENCE,14,M,None,Yes
Chennai,KIDNAPPING,19,M,Poison,Yes
Srinagar,TRAFFIC VIOLATION,10,M,Blunt Object,Yes
Srinagar,ARSON,67,F,Blunt Object,No
Lucknow,FRAUD,55,M,Knife,Yes
Ghaziabad,BURGLARY,13,M,None,No
Kalyan,TRAFFIC VIOLATION,75,F,Poison,Yes
Mumbai,ILLEGAL POSSESSION,71,X,Poison,Yes
Ghaziabad,ILLEGAL POSSESSION,22,F,Other,No
Hyderabad,SEXUAL ASSAULT,32,F,Other,Yes
Ahmedabad,SEXUAL ASSAULT,51,M,Explosives,No
Hyderabad,KIDNAPPING,43,X,Other,No
Delhi,VEHICLE - STOLEN,17,F,Explosives,Yes
Kolkata,EXTORTION,54,F,Explosives,No
Ahmedabad,CYBERCRIME,49,M,Blunt Object,Yes
Ahmedabad,FRAUD,35,M,Firearm,Yes
Delhi,BURGLARY,51,F,Knife,Yes
Kanpur,COUNTERFEITING,78,F,Other,Yes
Indore,HOMICIDE,20,F,Poison,No
Lucknow,SHOPLIFTING,10,M,Knife,Yes
Meerut,FIREARM OFFENSE,43,F,None,No
Hyderabad,KIDNAPPING,34,X,Blunt Object,Yes
Delhi,TRAFFIC VIOLATION,32,F,Explosives,No
Delhi,ILLEGAL POSSESSION,41,X,Explosives,Yes
Meerut,ARSON,17,X,Poison,Yes
Lucknow,ROBBERY,26,F,Firearm,No
Lucknow,EXTORTION,16,M,Other,No
Kolkata,TRAFFIC VIOLATION,56,X,None,No
Faridabad,ROBBERY,25,M,Other,No
Indore,FIREARM OFFENSE,68,F,Explosives,Yes
Mumbai,KIDNAPPING,29,F,Knife,Yes
Thane,PUBLIC INTOXICATION,59,X,Explosives,No
Bangalore,CYBERCRIME,39,M,None,No
Ghaziabad,FRAUD,32,X,Poison,Yes
Chennai,DRUG OFFENSE,59,M,None,No
Mumbai,HOMICIDE,25,X,Blunt Object,No
Jaipur,VANDALISM,34,M,Other,No
Ahmedabad,TRAFFIC VIOLATION,31,F,Poison,Yes
Rajkot,CYBERCRIME,69,X,Blunt Object,No
Lucknow,COUNTERFEITING,30,X,Explosives,No
Bangalore,DOMESTIC VIOLENCE,59,X,Blunt Object,Yes
Visakhapatnam,EXTORTION,58,F,Poison,Yes
Pune,EXTORTION,59,F,Knife,Yes
Indore,EXTORTION,22,F,Knife,No
Agra,HOMICIDE,73,X,Blunt Object,No
Patna,IDENTITY THEFT,39,M,None,No
Pune,IDENTITY THEFT,60,M,Explosives,Yes
Bangalore,ASSAULT,62,F,Firearm,Yes
Ghaziabad,HOMICIDE,26,M,None,No
Bangalore,ASSAULT,54,X,None,No
Bhopal,TRAFFIC VIOLATION,68,F,Firearm,No
Bangalore,DRUG OFFENSE,56,M,Firearm,No
Mumbai,COUNTERFEITING,49,F,Other,Yes
Delhi,COUNTERFEITING,15,M,Poison,No
Delhi,CYBERCRIME,41,F,Poison,No
Pune,ARSON,28,M,Other,Yes
Ahmedabad,SEXUAL ASSAULT,67,F,Knife,No
Chennai,KIDNAPPING,43,M,Explosives,No
Delhi,BURGLARY,70,X,Blunt Object,No
Indore,DRUG OFFENSE,28,M,Explosives,Yes
Jaipur,SEXUAL ASSAULT,62,F,Knife,Yes
Delhi,DOMESTIC VIOLENCE,47,M,None,No
Agra,FIREARM OFFENSE,68,X,Knife,No
Hyderabad,ASSAULT,51,F,Knife,Yes
Pune,TRAFFIC VIOLATION,22,X,Firearm,Yes
Visakhapatnam,KIDNAPPING,30,F,None,Yes
Delhi,DOMESTIC VIOLENCE,79,F,Poison,Yes
Ahmedabad,ILLEGAL POSSESSION,25,X,None,Yes
Mumbai,DRUG OFFENSE,31,M,Firearm,No
Jaipur,FIREARM OFFENSE,50,M,Knife,Yes
Delhi,SEXUAL ASSAULT,65,M,Firearm,No
Pune,CYBERCRIME,14,M,Other,Yes
Pune,IDENTITY THEFT,67,X,Knife,Yes
Hyderabad,PUBLIC INTOXICATION,21,X,Firearm,Yes
Pune,DOMESTIC VIOLENCE,71,X,Other,Yes
Chennai,PUBLIC INTOXICATION,12,F,Knife,No
Delhi,VANDALISM,79,F,Knife,Yes
Mumbai,VEHICLE - STOLEN,56,X,Blunt Object,No
Faridabad,EXTORTION,49,F,Firearm,Yes
Mumbai,ARSON,56,M,None,Yes
Delhi,PUBLIC INTOXICATION,50,M,Poison,Yes
Delhi,VANDALISM,30,X,Explosives,No
Pune,KIDNAPPING,42,X,Poison,Yes
Jaipur,VEHICLE - STOLEN,65,F,Knife,No
Delhi,SHOPLIFTING,18,M,Explosives,Yes
Kanpur,ARSON,28,F,Other,Yes
Chennai,KIDNAPPING,17,F,Firearm,Yes
Mumbai,SEXUAL ASSAULT,64,X,Poison,Yes
Ahmedabad,ROBBERY,50,M,Knife,Yes
Delhi,ILLEGAL POSSESSION,12,M,Other,Yes
Hyderabad,DOMESTIC VIOLENCE,19,F,Poison,No
Kolkata,BURGLARY,58,F,Blunt Object,Yes
Patna,DOMESTIC VIOLENCE,26,X,Blunt Object,Yes
Ludhiana,ROBBERY,62,F,Other,Yes
Indore,HOMICIDE,37,X,Blunt Object,No
Delhi,SHOPLIFTING,47,M,Firearm,No
Delhi,CYBERCRIME,35,M,Other,Yes
Chennai,SEXUAL ASSAULT,17,F,Blunt Object,No
Mumbai,FIREARM OFFENSE,31,X,None,Yes
Mumbai,DRUG OFFENSE,31,X,None,Yes
Varanasi,FRAUD,11,M,None,Yes
Hyderabad,ILLEGAL POSSESSION,24,X,Knife,No
Hyderabad,ASSAULT,72,F,Other,No
Ahmedabad,IDENTITY THEFT,64,F,Other,Yes
Chennai,SEXUAL ASSAULT,37,M,Explosives,Yes
Visakhapatnam,SEXUAL ASSAULT,62,X,Firearm,No
Kolkata,BURGLARY,50,X,Poison,Yes
Delhi,VANDALISM,25,F,None,No
Delhi,ASSAULT,34,X,Explosives,No
Nashik,VANDALISM,50,M,Blunt Object,No
Delhi,IDENTITY THEFT,78,F,Firearm,Yes
Kanpur,IDENTITY THEFT,35,F,Explosives,Yes
Mumbai,ASSAULT,53,M,Explosives,No
Lucknow,ROBBERY,25,F,Knife,No
Ahmedabad,KIDNAPPING,44,M,Other,Yes
Nagpur,EXTORTION,60,X,Knife,No
Ahmedabad,SEXUAL ASSAULT,35,X,Explosives,No
Chennai,COUNTERFEITING,50,X,Blunt Object,No
Chennai,FRAUD,59,M,Poison,No
Kolkata,HOMICIDE,34,M,Knife,No
Delhi,DRUG OFFENSE,51,F,Knife,No
Delhi,SEXUAL ASSAULT,25,F,None,Yes
Bangalore,PUBLIC INTOXICATION,69,X,Blunt Object,No
Delhi,PUBLIC INTOXICATION,15,F,Poison,No
Pune,DRUG OFFENSE,60,F,Other,Yes
Hyderabad,ILLEGAL POSSESSION,22,X,Poison,Yes
Pune,FIREARM OFFENSE,46,F,Poison,No
Bhopal,SEXUAL ASSAULT,33,F,Other,Yes
Lucknow,DRUG OFFENSE,49,F,Blunt Object,No
Mumbai,IDENTITY THEFT,59,F,Other,No
Kolkata,DOMESTIC VIOLENCE,76,X,Explosives,No
Chennai,DOMESTIC VIOLENCE,37,M,Blunt Object,Yes
Ahmedabad,ROBBERY,73,F,Explosives,No
Hyderabad,ARSON,56,F,None,Yes
Delhi,KIDNAPPING,36,F,Blunt Object,No
Nashik,ROBBERY,31,M,Poison,No
Ludhiana,SEXUAL ASSAULT,74,X,Blunt Object,Yes
Kolkata,PUBLIC INTOXICATION,35,X,Knife,Yes
Lucknow,IDENTITY THEFT,54,M,Knife,Yes
Chennai,ARSON,49,M,Firearm,No
